radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.148,1.6713,5.40023,4.32451,6.29425,0.990996,0.0335547,4.16466,0.117964,0.0759765
0.1485,1.66956,5.35946,4.27692,6.27449,0.968117,0.0319707,4.40026,0.112601,0.0728258
0.149,1.6678,5.31953,4.23025,6.25538,0.945868,0.0304643,4.63749,0.107434,0.069812
0.1495,1.66604,5.2808,4.18479,6.23737,0.924309,0.0290344,4.87468,0.102469,0.0669354
0.15,1.66428,5.24029,4.13815,6.21706,0.902879,0.0276584,5.10747,0.0976358,0.0641471
0.1505,1.66252,5.19926,4.09137,6.19582,0.881811,0.0263432,5.33773,0.0929615,0.0614645
0.151,1.66075,5.15982,4.04606,6.17622,0.86143,0.0250943,5.56452,0.0884773,0.0589038
0.1515,1.65899,5.11787,3.99905,6.15327,0.841088,0.0238926,5.78367,0.084118,0.0564207
0.152,1.65721,5.07736,3.95343,6.13185,0.821396,0.0227516,5.99884,0.0799381,0.0540503
0.1525,1.65543,5.03841,3.90926,6.11192,0.802384,0.0216712,6.20827,0.075944,0.0517936
0.153,1.65366,4.99757,3.86387,6.08947,0.783461,0.0206317,6.40807,0.0720702,0.0496061
0.1535,1.65188,4.95694,3.81888,6.06702,0.764954,0.0196398,6.59965,0.0683463,0.0475063
0.154,1.6501,4.91778,3.77528,6.04598,0.747089,0.0187014,6.78302,0.064798,0.0455088
0.1545,1.64831,4.87706,3.73071,6.02272,0.729364,0.0178003,6.95463,0.0613715,0.0435769
0.155,1.64652,4.83691,3.68682,5.9999,0.712087,0.0169423,7.11652,0.0580913,0.0417266
0.1555,1.64473,4.79792,3.64407,5.97823,0.695346,0.0161282,7.26882,0.0549637,0.039961
0.156,1.64293,4.75846,3.6012,5.95568,0.67889,0.0153503,7.4091,0.0519645,0.0382628
0.1565,1.64113,4.71833,3.55806,5.932,0.662686,0.0146062,7.5368,0.0490884,0.0366275
0.157,1.63932,4.6784,3.51531,5.90823,0.646857,0.0138976,7.65273,0.0463436,0.0350607
0.1575,1.63752,4.63885,3.47309,5.88463,0.63142,0.0132234,7.75697,0.0437283,0.0335606
0.158,1.63571,4.59949,3.43122,5.86097,0.616329,0.0125808,7.84911,0.0412349,0.0321223
0.1585,1.6339,4.56027,3.3897,5.83716,0.601578,0.0119688,7.92898,0.0388615,0.0307438
0.159,1.63209,4.52121,3.34854,5.81321,0.587165,0.0113862,7.99659,0.0366049,0.0294232
0.1595,1.63028,4.48232,3.30773,5.78919,0.573079,0.010831,8.05213,0.0344593,0.0281572
0.16,1.62846,4.44378,3.26743,5.76531,0.559346,0.0103031,8.09599,0.0324252,0.0269459
0.1605,1.62663,4.40424,3.22662,5.7398,0.545782,0.00979787,8.12587,0.0304879,0.0257786
0.161,1.6248,4.36427,3.18571,5.71343,0.532444,0.00931494,8.14316,0.0286459,0.0246555
0.1615,1.62298,4.32637,3.14655,5.68945,0.519646,0.00885942,8.15266,0.0269154,0.0235909
0.162,1.62114,4.28845,3.10761,5.66513,0.507119,0.00842536,8.15082,0.0252773,0.02257
0.1625,1.6193,4.24996,3.06846,5.63967,0.494795,0.00801077,8.13688,0.0237251,0.0215883
0.163,1.61747,4.21154,3.02959,5.61399,0.48274,0.00761582,8.11254,0.0222584,0.0206472
0.1635,1.61563,4.17346,2.9912,5.58846,0.470979,0.00724012,8.07874,0.0208754,0.0197466
0.164,1.61379,4.13562,2.95321,5.56292,0.459501,0.00688281,8.03562,0.0195728,0.0188848
0.1645,1.61195,4.09825,2.91576,5.53765,0.448324,0.00654335,7.98408,0.0183479,0.0180611
0.165,1.61011,4.0603,2.87812,5.51129,0.437323,0.00621907,7.92264,0.0171913,0.017269
0.1655,1.60825,4.02164,2.84021,5.48369,0.426478,0.00590898,7.85158,0.016099,0.0165063
0.166,1.60638,3.98369,2.803,5.45667,0.415938,0.00561469,7.77398,0.0150748,0.0157784
0.1665,1.60452,3.9469,2.76682,5.43085,0.405751,0.00533624,7.69117,0.0141177,0.0150858
0.167,1.60267,3.91085,2.7314,5.40574,0.395862,0.00507219,7.60282,0.0132224,0.0144251
0.1675,1.60081,3.87436,2.69587,5.37971,0.386138,0.00482008,7.50711,0.0123805,0.0137901
0.168,1.59895,3.83712,2.66001,5.3523,0.376544,0.00457898,7.40398,0.0115881,0.0131787
0.1685,1.59708,3.80033,2.6247,5.32514,0.367212,0.00435031,7.29636,0.010848,0.0125953
0.169,1.5952,3.76381,2.58979,5.29805,0.358105,0.00413285,7.18425,0.0101553,0.0120372
0.1695,1.59332,3.72751,2.55521,5.27095,0.349206,0.00392582,7.06797,0.0095064,0.0115026
0.17,1.59145,3.69153,2.52106,5.24394,0.340526,0.00372899,6.94822,0.00889952,0.0109912
0.1705,1.58958,3.65577,2.48727,5.21691,0.332057,0.00354197,6.82525,0.00833276,0.0105022
0.171,1.58769,3.62028,2.45387,5.18994,0.3238,0.00336433,6.69955,0.00780388,0.010035
0.1715,1.5858,3.58522,2.42095,5.16319,0.315756,0.0031956,6.57171,0.00731035,0.00958849
0.172,1.58391,3.55024,2.38828,5.13622,0.307892,0.00303505,6.44155,0.0068492,0.00916099
0.1725,1.58202,3.51491,2.35559,5.10846,0.300168,0.00288194,6.30867,0.00641763,0.00875064
0.173,1.58013,3.47928,2.32291,5.07989,0.292589,0.00273609,6.17352,0.00601444,0.00835719
0.1735,1.57823,3.44401,2.29064,5.05143,0.285205,0.00259766,6.03757,0.00563896,0.00798146
0.174,1.57634,3.4102,2.25955,5.02484,0.278097,0.00246689,5.90305,0.00529024,0.00762468
0.1745,1.57444,3.37609,2.22844,4.99746,0.271114,0.00234217,5.76716,0.00496396,0.0072822
0.175,1.57253,3.34137,2.19713,4.96882,0.264237,0.00222315,5.62977,0.00465863,0.00695313
0.1755,1.57061,3.30725,2.1664,4.9407,0.25756,0.0021104,5.49326,0.00437461,0.00663962
