radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.1065,1.80592,7.95736,8.3412,6.51659,5.36091,1.22328,1.54264,2.18112,1.72265
0.107,1.80441,7.94587,8.30399,6.53398,5.27196,1.1783,1.498,2.11818,1.66775
0.1075,1.80289,7.93372,8.26619,6.5509,5.1839,1.13478,1.45443,2.05674,1.61434
0.108,1.80138,7.92119,8.22811,6.56753,5.09704,1.09273,1.41199,1.9969,1.5625
0.1085,1.79986,7.90782,8.18928,6.58348,5.01102,1.05207,1.37058,1.93852,1.51209
0.109,1.79834,7.89351,8.1496,6.59871,4.92577,1.01272,1.33016,1.88152,1.46305
0.1095,1.79682,7.87866,8.10948,6.61351,4.84156,0.974685,1.29075,1.82596,1.4154
0.11,1.7953,7.86313,8.06877,6.62778,4.75825,0.937906,1.25231,1.77176,1.36908
0.1105,1.79376,7.84689,8.02744,6.64149,4.67577,0.902332,1.21481,1.71887,1.32404
0.111,1.79223,7.83003,7.98564,6.65469,4.59435,0.868007,1.17831,1.66741,1.28036
0.1115,1.7907,7.81263,7.94343,6.66743,4.51399,0.834869,1.14276,1.6173,1.23796
0.112,1.78914,7.79456,7.90064,6.67963,4.43448,0.802819,1.10809,1.56841,1.19673
0.1125,1.7876,7.77567,7.85719,6.69112,4.35587,0.771884,1.07433,1.5208,1.15672
0.113,1.78607,7.75621,7.81332,6.70215,4.27823,0.74202,1.04145,1.47444,1.11788
0.1135,1.78452,7.73616,7.76902,6.71265,4.2016,0.713205,1.00945,1.42932,1.08021
0.114,1.78297,7.7155,7.72428,6.72259,4.12597,0.685415,0.978322,1.38542,1.04367
0.1145,1.78141,7.69452,7.67932,6.73229,4.05134,0.658585,0.948014,1.34269,1.00821
0.115,1.77985,7.67274,7.63372,6.74128,3.97756,0.632687,0.918491,1.30106,0.973787
0.1155,1.77828,7.65005,7.58743,6.74942,3.90466,0.607719,0.889763,1.26056,0.940411
0.116,1.77672,7.62722,7.54118,6.7574,3.83295,0.583678,0.861868,1.22123,0.908102
0.1165,1.77516,7.604,7.4947,6.76503,3.76226,0.560507,0.834748,1.18298,0.876792
0.117,1.7736,7.57981,7.44742,6.77175,3.69229,0.538138,0.808319,1.14572,0.846391
