radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0795,1.88034,7.35128,9.00799,4.82724,10.8857,6.85578,6.08777,8.20865,7.55881
0.08,1.87901,7.38543,9.02549,4.86925,10.789,6.68272,5.96894,8.04854,7.39304
0.0805,1.87767,7.41869,9.04165,4.91095,10.6913,6.51229,5.85116,7.88983,7.22922
0.081,1.87634,7.45131,9.05678,4.95248,10.5928,6.34475,5.73466,7.73283,7.06764
0.0815,1.875,7.48308,9.0707,4.99372,10.4934,6.17993,5.61928,7.57738,6.90813
0.082,1.87365,7.51386,9.0832,5.03454,10.3929,6.01769,5.50491,7.42331,6.75052
0.0825,1.8723,7.54382,9.09451,5.07507,10.2917,5.85824,5.3918,7.27088,6.59509
0.083,1.87095,7.57278,9.10436,5.11518,10.1895,5.70149,5.27983,7.12004,6.44176
0.0835,1.86958,7.60096,9.11313,5.15501,10.0867,5.54759,5.16919,6.97093,6.29067
0.084,1.86822,7.62812,9.12053,5.19439,9.98311,5.3964,5.05972,6.82342,6.14168
0.0845,1.86686,7.65462,9.12696,5.23358,9.87921,5.24817,4.95168,6.67788,5.99511
0.085,1.86549,7.68048,9.13239,5.27256,9.77503,5.10291,4.84511,6.5343,5.85095
0.0855,1.86411,7.7049,9.13597,5.31079,9.66965,4.96007,4.73955,6.39205,5.70862
0.086,1.86273,7.72853,9.13849,5.3487,9.56399,4.82014,4.63541,6.25171,5.56865
0.0865,1.86135,7.75149,9.14003,5.38637,9.45823,4.68318,4.53279,6.11345,5.43115
0.087,1.85997,7.77366,9.14046,5.42372,9.35224,4.54906,4.43162,5.97715,5.29599
0.0875,1.85858,7.79478,9.13958,5.46057,9.24577,4.41762,4.33178,5.84262,5.163
0.088,1.85718,7.8149,9.13742,5.49692,9.13893,4.2889,4.23331,5.70993,5.03225
0.0885,1.85578,7.83422,9.13414,5.53292,9.03203,4.16302,4.13635,5.5793,4.9039
0.089,1.85438,7.85284,9.12993,5.56866,8.92525,4.04,4.04094,5.45076,4.77797
0.0895,1.85298,7.87054,9.12461,5.60393,8.8183,3.91968,3.94698,5.32415,4.65429
0.09,1.85157,7.8872,9.11791,5.63865,8.71116,3.80202,3.85447,5.19948,4.53286
0.0905,1.85016,7.90305,9.11019,5.67301,8.60414,3.68709,3.76342,5.0768,4.41376
0.091,1.84874,7.91785,9.10121,5.70681,8.49698,3.57474,3.67379,4.95603,4.29686
