radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0835,1.86958,7.60334,9.11635,5.15596,10.0855,5.54149,5.17311,6.96029,6.28059
0.084,1.86821,7.63075,9.12406,5.19558,9.98214,5.39043,5.06347,6.81294,6.13176
0.0845,1.86685,7.65715,9.13032,5.23474,9.87796,5.24209,4.95507,6.66722,5.98505
0.085,1.86548,7.68258,9.13522,5.27347,9.77309,5.09648,4.84794,6.52318,5.84051
0.0855,1.8641,7.7072,9.13905,5.31189,9.66784,4.95374,4.7422,6.38102,5.69831
0.086,1.86272,7.73109,9.14182,5.35003,9.5624,4.81396,4.63796,6.2409,5.55855
0.0865,1.86134,7.75398,9.14329,5.38773,9.45647,4.67696,4.53508,6.10258,5.42103
0.087,1.85995,7.77587,9.14341,5.42494,9.35002,4.54265,4.43352,5.96603,5.2857
0.0875,1.85857,7.79702,9.14247,5.46185,9.24347,4.41123,4.33345,5.83153,5.15278
0.088,1.85717,7.81735,9.14053,5.49842,9.13682,4.28269,4.2349,5.69907,5.02224
0.0885,1.85576,7.83661,9.13725,5.53444,9.02977,4.15679,4.13772,5.5684,4.89387
0.089,1.85436,7.85501,9.13279,5.57007,8.92264,4.03369,4.04203,5.43975,4.76786
0.0895,1.85296,7.87255,9.12719,5.60528,8.81545,3.91335,3.94782,5.31311,4.64418
0.09,1.85155,7.88915,9.12041,5.64002,8.70818,3.79569,3.85507,5.1884,4.52277
0.0905,1.85013,7.90493,9.1126,5.6744,8.601,3.6808,3.76387,5.06578,4.40372
0.091,1.84872,7.91996,9.10384,5.70841,8.49404,3.56865,3.67421,4.94527,4.28708
0.0915,1.8473,7.93393,9.0938,5.74185,8.38699,3.45904,3.58595,4.82663,4.17258
0.092,1.84587,7.94701,9.08263,5.77483,8.28006,3.35206,3.49917,4.70996,4.06035
0.0925,1.84445,7.95942,9.07062,5.80751,8.17353,3.24778,3.41398,4.59544,3.95052
0.093,1.84302,7.97088,9.0575,5.83967,8.06713,3.146,3.33023,4.48285,3.84289
0.0935,1.84158,7.98129,9.04313,5.87125,7.96083,3.0467,3.2479,4.37216,3.7374
0.094,1.84014,7.99077,9.02764,5.90232,7.8548,2.94989,3.16703,4.26344,3.63412
0.0945,1.83871,7.99951,9.01125,5.93298,7.74919,2.85558,3.08767,4.15675,3.53308
0.095,1.83726,8.00748,8.99403,5.96324,7.64405,2.76375,3.00982,4.05209,3.43427
0.0955,1.83581,8.01461,8.97575,5.99303,7.5393,2.67432,2.93343,3.94939,3.33764
