radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.091,7.91631,9.09136,5.71703,8.47337,3.55794,3.56434,4.98797,4.31922
0.0915,7.93017,9.08143,5.7501,8.36634,3.44867,3.4791,4.86883,4.20434
0.092,7.94309,9.07032,5.78267,8.25937,3.34196,3.39523,4.75161,4.09166
0.0925,7.9554,9.05843,5.81498,8.15288,3.23796,3.31291,4.63656,3.98139
0.093,7.96666,9.0453,5.8467,8.04645,3.13647,3.23194,4.52338,3.87327
0.0935,7.9768,9.0308,5.87777,7.94003,3.03739,3.15228,4.41205,3.76726
0.094,7.98628,9.01555,5.90852,7.83411,2.94087,3.07412,4.3028,3.66358
0.0945,7.99507,8.99948,5.93893,7.7287,2.84688,2.99744,4.19563,3.56216
0.095,8.0029,8.98228,5.96879,7.62358,2.7553,2.92213,4.09038,3.46288
0.0955,8.00979,8.96397,5.9981,7.51878,2.6661,2.8482,3.98704,3.36574
0.096,8.01595,8.94484,6.02702,7.41453,2.57925,2.7757,3.88571,3.27076
0.0965,8.0211,8.92459,6.05534,7.3106,2.49467,2.70452,3.78622,3.1778
0.097,8.02562,8.90355,6.08332,7.20735,2.41244,2.6348,3.68877,3.08704
0.0975,8.02924,8.88151,6.11077,7.10458,2.33243,2.56642,3.5932,2.99834
0.098,8.03179,8.85834,6.13753,7.00215,2.25455,2.49933,3.49942,2.91155
0.0985,8.0335,8.83427,6.16379,6.90031,2.17884,2.43359,3.40754,2.82681
0.099,8.03451,8.80942,6.18964,6.79919,2.10528,2.36923,3.31758,2.7441
0.0995,8.03501,8.78401,6.21521,6.69895,2.03388,2.30628,3.22959,2.66344
0.1,8.03467,8.7577,6.24026,6.59935,1.96453,2.24465,3.14345,2.58473
0.1005,8.03315,8.73016,6.26448,6.50017,1.89711,2.18424,3.05901,2.50784
0.101,8.03076,8.70172,6.28816,6.40164,1.83163,2.12509,2.97633,2.43279
0.1015,8.02781,8.67265,6.31154,6.30383,1.76802,2.06718,2.89539,2.35955
0.102,8.02413,8.64287,6.33442,6.20692,1.70637,2.0106,2.81631,2.28822
0.1025,8.01963,8.61228,6.35672,6.11086,1.64663,1.95533,2.73905,2.21876
0.103,8.01427,8.58079,6.37847,6.01539,1.58859,1.90119,2.66339,2.15094
0.1035,8.00803,8.54842,6.39961,5.9206,1.53227,1.84823,2.58935,2.08482
0.104,8.00121,8.51549,6.42037,5.82672,1.47771,1.7965,2.51705,2.02043
0.1045,7.99344,8.48166,6.44043,5.73362,1.42484,1.74597,2.44641,1.95774
0.105,7.98488,8.44709,6.45992,5.64142,1.37365,1.69662,2.37744,1.89673
0.1055,7.97585,8.41208,6.47912,5.55017,1.32405,1.64843,2.31007,1.83733
0.106,7.96598,8.37621,6.49773,5.45954,1.27593,1.60127,2.24416,1.7794
0.1065,7.95524,8.33958,6.51563,5.36994,1.22943,1.55531,2.17992,1.72314
0.107,7.94388,8.30242,6.5331,5.28126,1.18442,1.51045,2.11721,1.66841
0.1075,7.93181,8.26457,6.55006,5.19337,1.14081,1.46662,2.05595,1.61511
0.108,7.91922,8.22626,6.56664,5.10645,1.09861,1.42386,1.99617,1.56328
0.1085,7.90577,8.18724,6.58253,5.02048,1.05783,1.38217,1.93789,1.51293
0.109,7.89136,8.14734,6.59766,4.93528,1.01837,1.34147,1.881,1.46394
0.1095,7.87636,8.10688,6.61237,4.85091,0.980154,1.30172,1.82543,1.41625
0.11,7.86113,8.06638,6.62686,4.76786,0.943325,1.26309,1.77144,1.37007
0.1105,7.84498,8.02506,6.64062,4.68559,0.907693,1.22539,1.71874,1.32515
0.111,7.82793,7.98293,6.65366,4.60409,0.87322,1.18859,1.66731,1.28145
0.1115,7.81057,7.94065,6.66641,4.52383,0.839992,1.15283,1.61731,1.23912
0.112,7.79239,7.89764,6.67849,4.44429,0.807833,1.11792,1.56852,1.19793
0.1125,7.7735,7.85409,6.68999,4.3657,0.776784,1.08392,1.52098,1.15794
0.113,7.75429,7.81035,6.7012,4.28827,0.746847,1.05086,1.47477,1.11919
0.1135,7.73428,7.76593,6.71173,4.21162,0.717896,1.01861,1.42968,1.08151
0.114,7.7134,7.72085,6.72147,4.13587,0.689976,0.987225,1.38581,1.04496
0.1145,7.69227,7.67567,6.731,4.06127,0.663066,0.956721,1.34318,1.00955
0.115,7.67036,7.62985,6.73986,3.98745,0.637056,0.926978,1.3016,0.975138
0.1155,7.64817,7.58398,6.74836,3.91487,0.61205,0.898137,1.26128,0.941879
0.116,7.6253,7.53756,6.75629,3.84316,0.5879,0.870032,1.22199,0.909576
0.1165,7.6017,7.49056,6.7636,3.77217,0.56456,0.84262,1.18367,0.878184
0.117,7.57774,7.44344,6.77051,3.70234,0.542113,0.816029,1.1465,0.847831
0.1175,7.55325,7.39599,6.77689,3.63353,0.520497,0.790191,1.11038,0.818437
0.118,7.52804,7.34798,6.78259,3.56553,0.499637,0.765021,1.07519,0.789908
0.1185,7.50241,7.2998,6.78784,3.4986,0.479574,0.7406,1.04105,0.762324
0.119,7.47631,7.25132,6.79263,3.43259,0.46024,0.716857,1.00786,0.735589
0.1195,7.44963,7.20248,6.79684,3.36747,0.44161,0.69377,0.975585,0.709683
0.12,7.42244,7.15336,6.80053,3.3033,0.423671,0.671333,0.944221,0.684599
0.1205,7.39492,7.10408,6.80389,3.24008,0.406396,0.649537,0.913744,0.660311
0.121,7.3667,7.05437,6.80648,3.17777,0.389778,0.628384,0.884155,0.636812
0.1215,7.33799,7.0044,6.80857,3.11636,0.373783,0.607836,0.85541,0.614063
0.122,7.30884,6.95419,6.81018,3.05585,0.358384,0.587878,0.827482,0.592037
0.1225,7.27945,6.90398,6.81148,2.99635,0.343584,0.568537,0.800401,0.570751
0.123,7.24988,6.85383,6.81249,2.93791,0.329372,0.549814,0.77416,0.550196
0.1235,7.21936,6.80299,6.81251,2.88017,0.315682,0.531627,0.748639,0.530276
0.124,7.18866,6.75222,6.8123,2.82341,0.302529,0.51403,0.723894,0.51103
0.1245,7.15735,6.70105,6.81139,2.76744,0.28987,0.49698,0.699857,0.4924
0.125,7.12564,6.6497,6.81006,2.7123,0.277688,0.48049,0.67651,0.474369
0.1255,7.09388,6.59857,6.80852,2.65826,0.266017,0.464635,0.653937,0.456994
0.126,7.06148,6.54708,6.80623,2.605,0.254796,0.449373,0.632028,0.44019
0.1265,7.02849,6.49525,6.80327,2.5525,0.244002,0.434701,0.61075,0.42393
0.127,6.99533,6.4435,6.80003,2.50092,0.233639,0.420707,0.590134,0.408231
0.1275,6.96197,6.39178,6.79648,2.45021,0.223685,0.407448,0.570148,0.393065
0.128,6.9282,6.33994,6.79238,2.40037,0.214136,0.394939,0.550792,0.37843
0.1285,6.89394,6.2879,6.78772,2.35129,0.204958,0.383323,0.532008,0.364279
0.129,6.8594,6.23583,6.78259,2.30306,0.196152,0.372623,0.513815,0.350623
0.1295,6.82474,6.18391,6.77718,2.25573,0.187713,0.362993,0.496213,0.337458
0.13,6.78987,6.13205,6.77144,2.20925,0.179616,0.354652,0.479166,0.324754
0.1305,6.75455,6.07998,6.76509,2.16349,0.171839,0.347764,0.462631,0.312479
0.131,6.71865,6.02767,6.75802,2.11844,0.164373,0.342385,0.446599,0.300624
0.1315,6.68256,5.97544,6.75064,2.07418,0.157209,0.338764,0.431066,0.289181
0.132,6.64644,5.9234,6.74306,2.03076,0.150342,0.33727,0.416035,0.27815
0.1325,6.61017,5.8715,6.7351,1.98819,0.14377,0.338316,0.401505,0.267529
0.133,6.57353,5.81952,6.72662,1.94633,0.137465,0.342123,0.387421,0.257277
0.1335,6.53646,5.76737,6.71757,1.90511,0.131408,0.349053,0.373754,0.24737
0.134,6.49919,5.71535,6.70809,1.86471,0.125615,0.359799,0.360546,0.237838
0.1345,6.46175,5.66341,6.69829,1.825,0.120057,0.374749,0.34774,0.228637
0.135,6.42409,5.61151,6.68807,1.78601,0.114729,0.393766,0.335337,0.219765
0.1355,6.38621,5.5597,6.67741,1.74778,0.109632,0.417356,0.323343,0.211226
0.136,6.34816,5.508,6.66636,1.71026,0.104751,0.446482,0.311731,0.203001
0.1365,6.30994,5.45641,6.65497,1.67341,0.100073,0.481722,0.300476,0.195069
0.137,6.27156,5.40491,6.64324,1.63723,0.0955887,0.523779,0.289564,0.18742
0.1375,6.23303,5.35355,6.63113,1.60175,0.0913003,0.573565,0.279006,0.18006
0.138,6.19452,5.30248,6.61876,1.56701,0.0872006,0.630451,0.268794,0.172982
0.1385,6.15555,5.25124,6.6058,1.53282,0.0832654,0.695525,0.258872,0.166147
0.139,6.11646,5.20019,6.59247,1.4993,0.0795024,0.768581,0.249267,0.159572
0.1395,6.07726,5.14931,6.57876,1.46644,0.0759048,0.8508,0.239967,0.153246
0.14,6.0379,5.09851,6.5647,1.43418,0.0724576,0.943002,0.230939,0.147148
0.1405,5.99866,5.04809,6.55052,1.4026,0.0691635,1.0438,0.222202,0.141286
0.141,5.95894,4.99755,6.53562,1.37157,0.0660099,1.15421,0.213724,0.13564
0.1415,5.91914,4.94716,6.52039,1.34112,0.0629908,1.27447,0.205497,0.130201
0.142,5.87941,4.89708,6.50503,1.31129,0.0601039,1.40524,0.197522,0.124969
0.1425,5.83953,4.8472,6.48925,1.28208,0.0573473,1.54693,0.189798,0.119942
0.143,5.79966,4.79755,6.47319,1.25347,0.0547129,1.69764,0.182311,0.115109
0.1435,5.75985,4.74817,6.45702,1.2254,0.0521906,1.85969,0.175038,0.110454
0.144,5.72037,4.69934,6.44099,1.19799,0.0497843,2.02841,0.168007,0.105986
0.1445,5.67995,4.65002,6.42364,1.17097,0.0474793,2.20552,0.16117,0.101679
0.145,5.63814,4.5998,6.40444,1.14421,0.0452651,2.39307,0.154497,0.097512
0.1455,5.59745,4.55076,6.38621,1.11823,0.0431596,2.58663,0.148066,0.0935279
0.146,5.55807,4.50305,6.36925,1.09305,0.0411581,2.78757,0.141869,0.0897204
0.1465,5.519,4.45584,6.35246,1.06843,0.0392466,2.99779,0.13586,0.0860625
0.147,5.4789,4.40804,6.33417,1.04413,0.0374146,3.21229,0.130018,0.082533
0.1475,5.43837,4.36016,6.31511,1.02025,0.0356625,3.43008,0.124354,0.079136
0.148,5.39823,4.31285,6.29627,0.99694,0.0339916,3.6523,0.118876,0.075877
0.1485,5.3577,4.26548,6.27671,0.974036,0.0323935,3.87848,0.113562,0.0727402
0.149,5.31706,4.21826,6.25673,0.951577,0.0308664,4.10607,0.108417,0.0697241
0.1495,5.27683,4.17161,6.23696,0.929653,0.0294106,4.3342,0.10345,0.0668317
0.15,5.23679,4.12539,6.21716,0.908228,0.0280225,4.56265,0.0986528,0.0640572
0.1505,5.19615,4.07895,6.19633,0.887162,0.0266956,4.78807,0.0940133,0.0613876
0.151,5.15511,4.03244,6.17471,0.866468,0.0254274,5.00985,0.0895289,0.0588196
0.1515,5.11434,3.98638,6.15317,0.846236,0.0242173,5.22882,0.0852026,0.0563545
0.152,5.07388,3.9408,6.13172,0.826469,0.0230634,5.44445,0.0810327,0.0539899
0.1525,5.03338,3.89547,6.10991,0.807122,0.021963,5.65538,0.0770148,0.0517208
