radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.113,7.75785,7.81287,6.70394,4.30648,0.752074,1.07729,1.46382,1.11262
0.1135,7.73797,7.76846,6.71473,4.22982,0.723009,1.04427,1.41911,1.0752
0.114,7.71712,7.72325,6.72466,4.154,0.694955,1.01211,1.37558,1.03887
0.1145,7.69623,7.67811,6.73454,4.07929,0.66788,0.980819,1.33322,1.00363
0.115,7.67425,7.63208,6.74346,4.00535,0.641743,0.950341,1.29195,0.969423
0.1155,7.65193,7.5859,6.75203,3.93255,0.616571,0.92073,1.25186,0.936309
0.116,7.62893,7.53922,6.76001,3.8606,0.59227,0.89189,1.21281,0.904164
0.1165,7.60542,7.4922,6.76751,3.78961,0.568835,0.863834,1.17483,0.872998
0.117,7.58149,7.44494,6.77457,3.71966,0.546262,0.836571,1.13791,0.842817
0.1175,7.5569,7.39722,6.781,3.65063,0.524504,0.810058,1.10202,0.813567
0.118,7.53166,7.34907,6.78682,3.58248,0.503521,0.784262,1.06709,0.785206
0.1185,7.50598,7.30066,6.79222,3.51526,0.483297,0.759177,1.03313,0.75772
0.119,7.47986,7.25201,6.7971,3.44907,0.463839,0.734829,1.00016,0.731132
0.1195,7.45319,7.20304,6.80146,3.38385,0.445099,0.711165,0.96812,0.705384
0.12,7.42602,7.15379,6.80529,3.31954,0.427053,0.688173,0.936991,0.680449
0.1205,7.39838,7.1043,6.80863,3.25616,0.409681,0.665842,0.906753,0.656313
0.121,7.37026,7.05454,6.81147,3.1937,0.392952,0.644143,0.877373,0.632945
0.1215,7.34159,7.00445,6.81369,3.13214,0.376852,0.623071,0.848835,0.610327
0.122,7.31248,6.95421,6.81542,3.07159,0.361384,0.602648,0.821172,0.588478
0.1225,7.28311,6.90389,6.81681,3.01196,0.346492,0.582814,0.794304,0.567324
0.123,7.25305,6.85317,6.81751,2.95316,0.332161,0.563553,0.768202,0.546851
0.1235,7.2227,6.80234,6.81785,2.89527,0.318372,0.544864,0.742861,0.527041
0.124,7.19194,6.75137,6.81768,2.83831,0.305122,0.526752,0.718287,0.507897
0.1245,7.16058,6.70008,6.81682,2.78222,0.292388,0.509202,0.694451,0.489397
0.125,7.1289,6.64869,6.81557,2.72698,0.280135,0.492191,0.671306,0.471493
0.1255,7.09706,6.5974,6.81404,2.67275,0.268378,0.475766,0.648896,0.454216
0.126,7.06487,6.546,6.81207,2.61939,0.257082,0.45989,0.627166,0.437523
0.1265,7.03221,6.49441,6.80953,2.56686,0.246223,0.444564,0.606084,0.421386
0.127,6.99911,6.44262,6.80642,2.51514,0.235788,0.429792,0.585634,0.405787
0.1275,6.96556,6.39063,6.80277,2.46421,0.225757,0.415577,0.565789,0.390703
0.128,6.93169,6.33861,6.79867,2.41419,0.216135,0.402026,0.546579,0.376155
0.1285,6.89753,6.28661,6.79413,2.36506,0.206909,0.389171,0.527984,0.362123
0.129,6.86304,6.23446,6.78914,2.31665,0.198033,0.376975,0.509928,0.348543
0.1295,6.82834,6.18238,6.78384,2.26911,0.189516,0.365608,0.492442,0.335442
0.13,6.79317,6.13012,6.77788,2.22235,0.181344,0.355038,0.475502,0.322796
0.1305,6.75766,6.07783,6.77141,2.1764,0.173507,0.345458,0.459102,0.310597
0.131,6.72201,6.02568,6.76466,2.1313,0.165993,0.337082,0.443228,0.298834
0.1315,6.68611,5.97348,6.7575,2.08694,0.158777,0.329962,0.427837,0.28747
0.132,6.64976,5.92116,6.74973,2.04331,0.151855,0.324183,0.412929,0.276504
0.1325,6.6132,5.86893,6.74158,2.00049,0.145221,0.320007,0.398504,0.265934
0.133,6.5766,5.81691,6.73322,1.95848,0.138864,0.317752,0.38455,0.255749
0.1335,6.53971,5.76488,6.72434,1.91723,0.132773,0.317723,0.371043,0.245929
0.134,6.50243,5.71277,6.7149,1.87667,0.12693,0.320324,0.357956,0.236454
0.1345,6.46493,5.66068,6.7051,1.83679,0.121324,0.325898,0.345272,0.227308
0.135,6.42725,5.60872,6.6949,1.79768,0.115955,0.334391,0.333003,0.2185
0.1355,6.38934,5.55683,6.68425,1.75929,0.110815,0.346223,0.321135,0.210016
0.136,6.35121,5.505,6.67318,1.7216,0.10589,0.362022,0.309643,0.201838
0.1365,6.31302,5.45333,6.66186,1.68459,0.101168,0.382508,0.29851,0.193952
0.137,6.27471,5.40181,6.65022,1.64828,0.0966465,0.408144,0.287732,0.186355
0.1375,6.23609,5.35035,6.63804,1.61268,0.0923235,0.43927,0.277312,0.179049
0.138,6.19734,5.29903,6.62549,1.57774,0.0881834,0.476754,0.26722,0.172009
0.1385,6.15832,5.24769,6.61249,1.54338,0.0842115,0.519903,0.257429,0.165215
0.139,6.11914,5.19648,6.59909,1.50968,0.0804105,0.569711,0.247949,0.158675
0.1395,6.08002,5.14562,6.58548,1.47672,0.0767822,0.627942,0.238789,0.152394
0.14,6.04063,5.09477,6.57142,1.44432,0.0733043,0.693483,0.229902,0.146337
0.1405,6.00112,5.04406,6.55701,1.41252,0.0699735,0.766276,0.221288,0.140502
0.141,5.96155,4.99357,6.54228,1.38137,0.0667893,0.847994,0.212947,0.134891
0.1415,5.92193,4.94331,6.52723,1.35086,0.0637478,0.93939,0.204874,0.129498
0.142,5.88226,4.89326,6.5119,1.32095,0.0608379,1.03814,0.197054,0.124308
0.1425,5.84241,4.84333,6.49617,1.29159,0.0580522,1.14715,0.189463,0.119309
0.143,5.80238,4.79352,6.48003,1.26278,0.0553872,1.26621,0.1821,0.114498
0.1435,5.7624,4.74398,6.46366,1.23457,0.0528408,1.39332,0.17497,0.109873
0.144,5.72247,4.69474,6.44709,1.20694,0.0504076,1.52992,0.168061,0.105428
0.1445,5.68232,4.6456,6.43009,1.17983,0.0480794,1.67555,0.161357,0.101148
0.145,5.64239,4.59691,6.41302,1.15334,0.0458591,1.82928,0.154873,0.0970422
0.1455,5.60266,4.54862,6.3959,1.12742,0.0437384,1.99243,0.14859,0.0930976
0.146,5.56151,4.49944,6.37698,1.10174,0.0417003,2.16318,0.14246,0.0892803
0.1465,5.51969,4.44999,6.35696,1.07648,0.0397505,2.33889,0.136512,0.0856053
0.147,5.48097,4.40325,6.34028,1.05231,0.0379073,2.52399,0.130814,0.0821162
0.1475,5.44024,4.35519,6.321,1.02827,0.0361353,2.71524,0.125251,0.0787376
0.148,5.39909,4.30705,6.30096,1.00465,0.0344395,2.91072,0.119852,0.075484
0.1485,5.35922,4.26019,6.28216,0.981741,0.0328277,3.11122,0.114652,0.072375
0.149,5.31775,4.21233,6.26119,0.95903,0.0312803,3.31558,0.109585,0.0693692
0.1495,5.27755,4.16571,6.24142,0.937016,0.02981,3.52116,0.104712,0.066498
0.15,5.23819,4.12001,6.22237,0.915601,0.0284105,3.72982,0.100011,0.0637494
0.1505,5.19853,4.07431,6.20272,0.894573,0.0270725,3.94096,0.0954538,0.061105
0.151,5.15804,4.02822,6.18178,0.873847,0.0257914,4.14968,0.0910394,0.0585568
0.1515,5.11709,3.98204,6.16,0.853481,0.0245669,4.35675,0.0867688,0.0561055
0.152,5.07616,3.93611,6.13793,0.833535,0.0233981,4.56299,0.0826426,0.0537511
0.1525,5.03541,3.89056,6.11583,0.814021,0.0222825,4.76664,0.0786604,0.0514904
