E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.5,0.558462726699824,0.22530105985577903,2.3196658543784497e-48
1.5,0.558566451098348,0.225558042977275,2.23577901047924e-48
1.5,0.558744906166864,0.225999603155742,2.09534251072229e-48
1.5,0.558923653098538,0.226441163334209,1.9596298008320302e-48
1.5,0.5590278160765491,0.226698146455702,1.8828397475913402e-48
1.5,0.55920702416075,0.22713970663417002,1.75469280909888e-48
1.5,0.559386523385136,0.22758126681263602,1.63137834185661e-48
1.5,0.559491123856235,0.22783824993413201,1.56184807069152e-48
1.5,0.559671083088906,0.228279810112599,1.44624029902192e-48
1.5,0.559851332738154,0.228721370291065,1.3355328058136399e-48
1.5,0.560017049257002,0.229126702759968,1.23823384860132e-48
1.5,0.560406963896034,0.230078064235393,1.0261439619496e-48
1.5,0.560798221364097,0.23102942571081703,8.36813959877074e-49
1.5,0.561026545925223,0.23158310752712802,7.37007742434151e-49
1.5,0.561419921997041,0.23253446900255204,5.830583923888109e-49
1.5,0.5618146336424991,0.233485830477977,4.5073103784638795e-49
1.5,0.5620449651547571,0.234039512294286,3.83337365732389e-49
1.5,0.56244178391716,0.23499087376971103,2.8333187455363096e-49
1.5,0.562839930986898,0.23594223524513602,2.0215376878987e-49
1.5,0.563072258531353,0.23649591706144502,1.6296608718438399e-49
1.5,0.563472501214949,0.23744727853687003,1.08266058348212e-49
1.5,0.563874064929907,0.238398640012296,6.7822162915489395e-50
1.5,0.564108377573092,0.23895232182860504,4.99928672249937e-50
1.5,0.564512025384495,0.239903683304029,2.7608943091297503e-50
1.5,0.564916986942841,0.240855044779455,1.3641842831105e-50
1.5,0.565153273738597,0.241408726595765,8.47469569435587e-51
1.5,0.565560307863573,0.24236008807118903,3.22030881447316e-51
1.5,0.565968648443833,0.24331144954661302,9.43010603876679e-52
1.5,0.5662068984351231,0.24386513136292498,3.89241147721363e-52
1.5,0.56661730004169,0.24481649283835002,5.48019796576756e-53
1.5,0.567029000805833,0.24576785431377401,3.11083270804618e-54
1.5,0.5672692030265251,0.246321536130083,2.82413694301222e-55
1.5,0.567682953268009,0.24727289760550702,3.08172724517111e-58
1.5,0.568327843181868,0.248749849838928,0.0
1.6,0.51099907,0.0,0.0
1.6,0.511003485427447,0.00212428296941972,1.2509303445904e-48
1.6,0.511085969453362,0.00942436370361661,5.58616986326552e-48
1.6,0.511272683196175,0.0167244444377528,1.04702490827628e-47
1.6,0.511429288079129,0.020973010376669002,1.37998772606236e-47
1.6,0.511780633887044,0.028273091110801302,2.04825245834692e-47
1.6,0.51223578564561,0.035573171844951505,2.84128210156012e-47
1.6,0.512548359026729,0.0398217377838767,3.3601338361703597e-47
1.6,0.513167141700742,0.047121818518012504,4.34862854660499e-47
1.6,0.513888891355978,0.0544218992521515,5.45695767157142e-47
1.6,0.51435617331437,0.0586704651910768,6.155627071489729e-47
1.6,0.515239907684309,0.06597054592521151,7.44521202506942e-47
1.6,0.5162253715887271,0.0732706266593533,8.84307749845653e-47
1.6,0.516845503764862,0.07751919259827951,9.70426334405591e-47
1.6,0.517990693612833,0.08481927333241521,1.12616938792239e-46
1.6,0.519236001192622,0.09211935406655711,1.29116200861846e-46
1.6,0.520006562984591,0.09636792000547979,1.39116038988722e-46
1.6,0.521408768547495,0.103668000739622,1.56928612026173e-46
1.6,0.52290913612867,0.11096808147376001,1.75466881469134e-46
1.6,0.523827190380457,0.115216647412684,1.86555219850452e-46
1.6,0.52548111118923,0.122516728146825,2.06058214699903e-46
1.6,0.527230929867455,0.129816808880963,2.2604519485726404e-46
1.6,0.528293076110659,0.13406537481989,2.37858763418763e-46
1.6,0.530192645709899,0.141365455554027,2.58393806886913e-46
1.6,0.532185579681292,0.148665536288166,2.7912757513963e-46
1.6,0.533388012801921,0.152914102227092,2.91237687257331e-46
1.6,0.535526501643756,0.16021418296123102,3.12033367472185e-46
1.6,0.5377555932598631,0.167514263695371,3.32698390297864e-46
1.6,0.539094165415324,0.171762829634295,3.44610107537843e-46
1.6,0.541464288213433,0.17906291036843602,3.64781228037895e-46
1.6,0.543922066102822,0.186362991102573,3.8444867761952505e-46
1.6,0.5453923497984271,0.1906115570415,3.95601579259615e-46
1.6,0.54798637383415,0.19791163777564003,4.141516714512061e-46
1.6,0.550664960710777,0.205211718509779,4.31783706503561e-46
1.6,0.552262311136833,0.20946028444870202,4.4155533062336e-46
1.6,0.555072162385274,0.216760365182842,4.57384464249642e-46
1.6,0.5579633795916911,0.22406044591698102,4.7184482557294e-46
1.6,0.559682994592015,0.22830901185590702,4.795583189552081e-46
1.6,0.5627003590295371,0.235609092590046,4.9147919575667e-46
1.6,0.5657958253874841,0.242909173324186,5.0155361745809605e-46
1.6,0.567632801746443,0.24715773926311102,5.06491913957901e-46
1.6,0.570849219758263,0.25445781999725,5.13258809585257e-46
1.6,0.574140442867569,0.261757900731388,5.17690693334505e-46
1.6,0.5760898279359651,0.266006466670314,5.1912088063182e-46
1.6,0.579496780314617,0.27330654740445304,5.1947874711872996e-46
1.6,0.582975239007778,0.280606628138594,5.17028997472984e-46
1.6,0.58503207701271,0.284855194077518,5.14242949046519e-46
1.6,0.588621061584734,0.292155274811656,5.07009032198113e-46
1.6,0.592278278772677,0.299455355545798,4.9655543518659895e-46
1.6,0.5934682863217441,0.30180218244539403,4.9248910232496e-46
1.6,0.5938575674961081,0.30256695280801804,4.9108855085440305e-46
1.6,0.594247577885292,0.303331723170643,4.8965070553714e-46
1.6,0.594474894727249,0.30377681103091003,4.88796679690089e-46
1.6,0.59486605579621,0.30454158139353404,4.87299592698339e-46
1.6,0.5952579423775209,0.305306351756159,4.85764909921275e-46
1.6,0.595486349439164,0.30575143961642604,4.84854390471369e-46
1.6,0.5958793808488311,0.30651620997905,4.83260007677889e-46
1.6,0.596273134075824,0.307280980341675,4.81627751988873e-46
1.6,0.596502625804691,0.30772606820194204,4.8066032262457105e-46
1.6,0.596897518020585,0.30849083856456705,4.78967949325344e-46
1.6,0.5972931283664601,0.309255608927191,4.7723745272038605e-46
1.6,0.5975236992216321,0.30970069678746004,4.76212737245382e-46
1.6,0.597920442729285,0.31046546715008305,4.74421749146182e-46
1.6,0.598317900687487,0.31123023751270806,4.72592415935994e-46
1.6,0.598549545139929,0.31167532537297704,4.71510081105367e-46
1.6,0.59894813044548,0.3124400957356,4.6961992927105806e-46
