pull_index,E_MeV,f
0,10.622,1.0289853417160673
0,10.646,1.0290143627705417
0,10.67,1.0290432540804828
0,10.694,1.029072017545582
0,10.718,1.029100414188585
0,10.742,1.0291288636564586
0,10.766,1.0291572462812928
0,10.79,1.0291855042168163
0,10.814,1.0292136380894703
0,10.838,1.029241648372348
0,10.862,1.0292695362867663
0,10.886,1.0292970110148816
0,10.91,1.029324657620628
0,10.934,1.0293521848230551
0,10.958,1.0293795929181526
0,10.982,1.029406883211895
0,11.006,1.0294339983795189
0,11.03,1.0294599019694284
0,11.054,1.0294840849845492
0,11.078,1.029508167057888
0,11.102,1.0295321483196471
0,11.126,1.0295557441281926
0,11.15,1.0295795274757944
0,11.174,1.029603212358046
0,11.198,1.029626572535293
0,11.222,1.029650006568409
0,11.246,1.0296734013472957
0,11.27,1.0296967002313733
0,11.294,1.029719735484284
0,11.318,1.0297427330119804
0,11.342,1.029765749858871
0,11.366,1.0297886173880946
0,11.39,1.0298112254827432
0,11.414,1.0298339655029685
0,11.438,1.0298566145484056
0,11.462,1.0298791729640098
0,11.486,1.0299013646480082
0,11.51,1.029923744485179
0,11.534,1.029946035647055
0,11.558,1.0299680185706732
0,11.582,1.0299900796254216
0,11.606,1.0300121088756382
0,11.63,1.030034051665924
0,11.654,1.0300557450667815
0,11.678,1.0300774082328694
0,11.702,1.030099096134212
0,11.726,1.030120645458122
0,11.75,1.0301419493082995
0,11.774,1.030163386880902
0,11.798,1.0301847422679833
0,11.822,1.0302060155115542
0,11.846,1.0302269390531482
0,11.87,1.030248050636124
0,11.894,1.0302690820216889
0,11.918,1.0302898199640067
0,11.942,1.0303106393538348
0,11.966,1.0303314332813387
0,11.99,1.030352148929054
1,1.022,0.8966880476172802
1,1.046,0.8939430646038157
1,1.07,0.8950125225507157
1,1.094,0.8967253408977025
1,1.118,0.8986751974001637
1,1.142,0.9007067787008709
1,1.166,0.9027592620303344
1,1.19,0.9048166480441594
1,1.214,0.9068639514173676
1,1.238,0.9089591228998136
1,1.262,0.9110806300378296
1,1.286,0.9132086507904936
1,1.31,0.915321654802018
1,1.334,0.9174163317071574
1,1.358,0.9194756495577432
1,1.382,0.921519663710308
1,1.406,0.9235261041457812
1,1.43,0.9254813702381856
1,1.454,0.9274312934147456
1,1.478,0.929341009631358
1,1.502,0.9311884655832948
1,1.526,0.9330118980159948
1,1.55,0.93478230163317
1,1.574,0.9365382559639802
1,1.598,0.9381990653889742
1,1.622,0.9399083696904744
1,1.646,0.9415444553216592
1,1.67,0.9431202852564892
1,1.694,0.9446826892147446
1,1.718,0.9462236932372164
1,1.742,0.9476805595499722
1,1.766,0.9491568173591688
1,1.79,0.9505509932495608
1,1.814,0.9519029771099322
1,1.838,0.9532759423704956
1,1.862,0.9546630713372865
1,1.886,0.9558697910438478
1,1.91,0.9571348853257364
1,1.934,0.9583975353689884
1,1.958,0.959585862067929
1,1.982,0.9608651933696976
1,2.006,0.9619516328758492
1,2.03,0.9630818890478404
1,2.054,0.9641870670060392
1,2.078,0.9652655859721376
1,2.102,0.9663180503461334
1,2.126,0.9673485788112276
1,2.15,0.9683689169207312
1,2.174,0.9693656553414776
1,2.198,0.9703392751659248
1,2.222,0.9712909501898052
1,2.246,0.972222065812068
1,2.27,0.9731325124483716
1,2.294,0.9740227793533772
1,2.318,0.9748935947646552
1,2.342,0.9757588449551244
1,2.366,0.976608316672323
1,2.39,0.977439681704118
1,2.414,0.9782534470690752
1,2.438,0.9790459237025236
1,2.462,0.9798198731414416
1,2.486,0.9805778388803994
1,2.51,0.9813203965366316
1,2.534,0.9820454003980232
1,2.558,0.9827531911136403
1,2.582,0.9834467066976184
1,2.606,0.984126391832954
1,2.63,0.984801059652346
1,2.654,0.9854792176247488
1,2.678,0.986144259253141
1,2.702,0.9867964734676304
1,2.726,0.9874326522190416
1,2.75,0.9880393354485127
1,2.774,0.988634619578944
1,2.798,0.9892187379248057
1,2.822,0.9897919477726264
1,2.846,0.9903575421509364
1,2.87,0.9909127746681388
1,2.894,0.991457907631806
1,2.918,0.991993182662987
1,2.942,0.9925391958259888
1,2.966,0.9930794262194184
1,2.99,0.9936102191110868
1,3.014,0.9941316705653548
1,3.038,0.9946328985109312
1,3.062,0.9951197068599003
1,3.086,0.9955982227929288
1,3.11,0.9960684623370896
1,3.134,0.9965306559945134
1,3.158,0.9969850408128594
1,3.182,0.9974317525743884
1,3.206,0.997871052621879
1,3.23,0.9983023710500156
1,3.254,0.9987251474534812
1,3.278,0.9991409702222178
1,3.302,0.9995500086896432
1,3.326,0.9999524104717488
1,3.35,1.000348356063009
1,3.374,1.000737998825518
1,3.398,1.0011213181407694
1,3.422,1.001498584731336
1,3.446,1.0018821778408529
1,3.47,1.0022597139847114
1,3.494,1.0026314276007762
1,3.518,1.002997348008208
1,3.542,1.003357722117024
1,3.566,1.0037125083217655
1,3.59,1.0040619723559716
1,3.614,1.0044061126153567
