isotope,E_MeV,C
Pu239,2.52,0.0166393408896381
Pu239,2.53,0.016451360342368
Pu239,2.54,0.016258279133705
Pu239,2.55,0.0160600972636493
Pu239,2.56,0.0158568147322007
Pu239,2.57,0.0156484315393593
Pu239,2.58,0.0154349476851251
Pu239,2.59,0.0152163631694981
Pu239,2.6,0.0149926779924782
Pu239,2.61,0.0147638921540656
Pu239,2.62,0.0145300056542601
Pu239,2.63,0.0142910184930618
Pu239,2.64,0.0140469306704707
Pu239,2.65,0.0137977421864868
Pu239,2.66,0.01354345304111
Pu239,2.67,0.0132840632343405
Pu239,2.68,0.0130195727661781
Pu239,2.69,0.0127499816366229
Pu239,2.7,0.0124752898456749
Pu239,2.71,0.0121954973933341
Pu239,2.72,0.0119106042796005
Pu239,2.73,0.0116206105044741
Pu239,2.74,0.0113255160679548
Pu239,2.75,0.0110253209700427
Pu239,2.76,0.0107250448450265
Pu239,2.77,0.0104297073271948
Pu239,2.78,0.0101393084165477
Pu239,2.79,0.0098538481130851
Pu239,2.8,0.0095733264168071
Pu239,2.81,0.0092977433277136
Pu239,2.82,0.0090270988458046
Pu239,2.83,0.0087613929710802
Pu239,2.84,0.0085006257035403
Pu239,2.85,0.008244797043185
Pu239,2.86,0.0079939069900142
Pu239,2.87,0.0077479555440279
Pu239,2.88,0.0075069427052262
Pu239,2.89,0.0072708684736091
Pu239,2.9,0.0070397328491764
Pu239,2.91,0.0068135358319283
Pu239,2.92,0.0065922774218648
Pu239,2.93,0.0063759576189858
Pu239,2.94,0.0061645764232913
Pu239,2.95,0.0059581338347814
Pu239,2.96,0.005756629853456
Pu239,2.97,0.0055600644793152
Pu239,2.98,0.0053684377123589
Pu239,2.99,0.0051817495525871
Pu239,3.0,0.0049999999999999
Pu239,3.01,0.0048231890545973
Pu239,3.02,0.0046513167163791
Pu239,3.03,0.0044843829853455
Pu239,3.04,0.0043223878614965
Pu239,3.05,0.004165331344832
Pu239,3.06,0.004013213435352
Pu239,3.07,0.0038660341330566
Pu239,3.08,0.0037237934379457
Pu239,3.09,0.0035864913500194
Pu239,3.1,0.0034541278692776
Pu239,3.11,0.0033267029957203
Pu239,3.12,0.0032042167293476
Pu239,3.13,0.0030866690701594
Pu239,3.14,0.0029740600181558
Pu239,3.15,0.0028663895733367
Pu239,3.16,0.0027636577357022
Pu239,3.17,0.0026658645052522
Pu239,3.18,0.0025730098819867
Pu239,3.19,0.0024850938659058
Pu239,3.2,0.0024021164570094
Pu239,3.21,0.0023240776552976
Pu239,3.22,0.0022509774607703
Pu239,3.23,0.0021828158734275
Pu239,3.24,0.0021195928932693
Pu239,3.25,0.0020613085202956
Pu239,3.26,0.002006027960057
Pu239,3.27,0.001951816418104
Pu239,3.28,0.0018986738944365
Pu239,3.29,0.0018466003890545
Pu239,3.3,0.0017955959019582
Pu239,3.31,0.0017456604331474
Pu239,3.32,0.0016967939826222
Pu239,3.33,0.0016489965503825
Pu239,3.34,0.0016022681364284
Pu239,3.35,0.0015566087407599
Pu239,3.36,0.0015120183633769
