reactor,E_MeV,C
R2,2.12,0.0116113195778272
R2,2.13,0.0114243173113092
R2,2.14,0.0112395925442169
R2,2.15,0.0110587469021857
R2,2.16,0.0108833820108509
R2,2.17,0.0107150994958477
R2,2.18,0.0105555009828116
R2,2.19,0.0104061880973777
R2,2.2,0.0102687624651814
R2,2.21,0.0101448257118581
R2,2.22,0.0100359794630429
R2,2.23,0.0099438253443713
R2,2.24,0.0098699649814786
R2,2.25,0.0098159999999999
R2,2.26,0.0097738566189307
R2,2.27,0.0097342555905313
R2,2.28,0.0096969903403345
R2,2.29,0.0096618542938734
R2,2.3,0.009628640876681
R2,2.31,0.0095971435142901
R2,2.32,0.0095671556322338
R2,2.33,0.0095384706560449
R2,2.34,0.0095108820112566
R2,2.35,0.0094841831234016
R2,2.36,0.0094581674180131
R2,2.37,0.0094326283206238
R2,2.38,0.0094073592567669
R2,2.39,0.0093821536519752
R2,2.4,0.0093568049317818
R2,2.41,0.0093311065217195
R2,2.42,0.0093048518473213
R2,2.43,0.0092778343341203
R2,2.44,0.0092498474076493
R2,2.45,0.0092206844934413
R2,2.46,0.0091901390170292
R2,2.47,0.0091580044039461
R2,2.48,0.0091240740797249
R2,2.49,0.0090881414698985
R2,2.5,0.0090499999999999
R2,2.51,0.0090104447764319
R2,2.52,0.0089703806645419
R2,2.53,0.0089297657282803
R2,2.54,0.0088885580315976
R2,2.55,0.0088467156384439
R2,2.56,0.0088041966127697
R2,2.57,0.0087609590185253
R2,2.58,0.0087169609196609
R2,2.59,0.0086721603801271
R2,2.6,0.008626515463874
R2,2.61,0.008579984234852
R2,2.62,0.0085325247570115
R2,2.63,0.0084840950943028
R2,2.64,0.0084346533106762
R2,2.65,0.0083841574700821
R2,2.66,0.0083325656364707
R2,2.67,0.0082798358737925
R2,2.68,0.0082259262459978
R2,2.69,0.0081707948170369
R2,2.7,0.0081143996508601
R2,2.71,0.0080566988114178
R2,2.72,0.0079976503626603
R2,2.73,0.0079372123685379
R2,2.74,0.007875342893001
R2,2.75,0.0078119999999999
R2,2.76,0.0077342602052678
R2,2.77,0.0076306997748262
R2,2.78,0.0075035263980582
R2,2.79,0.007354947764347
R2,2.8,0.0071871715630757
R2,2.81,0.0070024054836273
R2,2.82,0.006802857215385
R2,2.83,0.0065907344477318
R2,2.84,0.0063682448700509
R2,2.85,0.0061375961717254
R2,2.86,0.0059009960421384
R2,2.87,0.005660652170673
R2,2.88,0.0054187722467123
R2,2.89,0.0051775639596394
R2,2.9,0.0049392349988373
R2,2.91,0.0047059930536893
R2,2.92,0.0044800458135784
R2,2.93,0.0042636009678878
R2,2.94,0.0040588662060004
R2,2.95,0.0038680492172995
R2,2.96,0.0036933576911681
R2,2.97,0.0035369993169893
R2,2.98,0.0034011817841463
R2,2.99,0.0032881127820222
R2,3.0,0.0031999999999999
R2,3.01,0.0031302388325703
R2,3.02,0.0030702058051249
R2,3.03,0.0030190803033989
R2,3.04,0.0029760417131272
R2,3.05,0.0029402694200448
R2,3.06,0.0029109428098866
R2,3.07,0.0028872412683876
R2,3.08,0.0028683441812829
R2,3.09,0.0028534309343072
R2,3.1,0.0028416809131957
R2,3.11,0.0028322735036833
R2,3.12,0.002824388091505
R2,3.13,0.0028172040623958
R2,3.14,0.0028099008020905
R2,3.15,0.0028016576963242
R2,3.16,0.0027916541308319
R2,3.17,0.0027790694913486
R2,3.18,0.0027630831636091
R2,3.19,0.0027428745333485
R2,3.2,0.0027176229863018
R2,3.21,0.0026865079082039
R2,3.22,0.0026487086847898
R2,3.23,0.0026034047017944
R2,3.24,0.0025497753449528
R2,3.25,0.0024869999999999
R2,3.26,0.0024167434180328
R2,3.27,0.002341536422984
R2,3.28,0.0022618575098423
R2,3.29,0.002178185173596
R2,3.3,0.0020909979092338
R2,3.31,0.0020007742117443
R2,3.32,0.0019079925761159
R2,3.33,0.0018131314973371
R2,3.34,0.0017166694703966
R2,3.35,0.0016190849902829
R2,3.36,0.0015208565519846
R2,3.37,0.00142246265049
R2,3.38,0.0013243817807879
R2,3.39,0.0012270924378668
R2,3.4,0.0011310731167151
R2,3.41,0.0010368023123215
R2,3.42,0.0009447585196744
R2,3.43,0.0008554202337625
R2,3.44,0.0007692659495742
