 Energy(MeV)      pp            B8           N13           O15    
 0.47400E+01   0.32930E-01   0.28904E-01   0.28951E-01   0.28906E-01 
 0.47600E+01   0.33324E-01   0.29350E-01   0.29396E-01   0.29352E-01 
 0.47800E+01   0.33711E-01   0.29787E-01   0.29833E-01   0.29789E-01 
 0.48000E+01   0.34091E-01   0.30217E-01   0.30261E-01   0.30218E-01 
 0.48200E+01   0.34463E-01   0.30637E-01   0.30681E-01   0.30639E-01 
 0.48400E+01   0.34826E-01   0.31049E-01   0.31092E-01   0.31050E-01 
 0.48600E+01   0.35181E-01   0.31451E-01   0.31493E-01   0.31452E-01 
 0.48800E+01   0.35526E-01   0.31842E-01   0.31885E-01   0.31844E-01 
 0.49000E+01   0.35862E-01   0.32224E-01   0.32265E-01   0.32225E-01 
 0.49200E+01   0.36187E-01   0.32594E-01   0.32635E-01   0.32596E-01 
 0.49400E+01   0.36511E-01   0.32962E-01   0.33003E-01   0.32964E-01 
 0.49600E+01   0.36842E-01   0.33336E-01   0.33376E-01   0.33337E-01 
 0.49800E+01   0.37180E-01   0.33716E-01   0.33755E-01   0.33717E-01 
 0.50000E+01   0.37524E-01   0.34102E-01   0.34141E-01   0.34103E-01 
 0.50200E+01   0.37875E-01   0.34494E-01   0.34532E-01   0.34495E-01 
 0.50400E+01   0.38233E-01   0.34893E-01   0.34930E-01   0.34894E-01 
 0.50600E+01   0.38598E-01   0.35298E-01   0.35335E-01   0.35299E-01 
 0.50800E+01   0.38970E-01   0.35710E-01   0.35747E-01   0.35711E-01 
 0.51000E+01   0.39350E-01   0.36128E-01   0.36165E-01   0.36129E-01 
 0.51200E+01   0.39738E-01   0.36554E-01   0.36590E-01   0.36555E-01 
 0.51400E+01   0.40133E-01   0.36987E-01   0.37022E-01   0.36988E-01 
 0.51600E+01   0.40535E-01   0.37427E-01   0.37462E-01   0.37428E-01 
 0.51800E+01   0.40946E-01   0.37875E-01   0.37909E-01   0.37876E-01 
 0.52000E+01   0.41365E-01   0.38330E-01   0.38364E-01   0.38331E-01 
 0.52200E+01   0.41792E-01   0.38793E-01   0.38827E-01   0.38794E-01 
 0.52400E+01   0.42227E-01   0.39264E-01   0.39297E-01   0.39265E-01 
 0.52600E+01   0.42671E-01   0.39743E-01   0.39776E-01   0.39744E-01 
 0.52800E+01   0.43123E-01   0.40230E-01   0.40262E-01   0.40231E-01 
