depth_km,mass_density_g_cm3,vp_km_s,vs_km_s,q_alpha,q_mu,radius_km,radius_fraction,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3
660.0,3.9201,10.2,5.6104,428.69,172.93,5711.0,0.8964055878198085,0.495,1.9404495000000002,1.9796505
610.0,3.9206,10.032,5.5047,425.51,170.82,5761.0,0.9042536493486109,0.495,1.940697,1.979903
560.0,3.9218,9.864,5.3989,422.55,168.78,5811.0,0.9121017108774133,0.495,1.941291,1.980509
510.0,3.9233,9.6962,5.2922,419.94,166.8,5861.0,0.9199497724062157,0.495,1.9420335,1.9812664999999998
460.0,3.9273,9.528,5.1864,417.32,164.87,5911.0,0.927797833935018,0.495,1.9440134999999998,1.9832865
410.0,3.9317,9.3601,5.0806,413.66,162.5,5961.0,0.9356458954638205,0.495,1.9461915,1.9855085000000001
410.0,3.5068,9.0302,4.8702,377.93,146.57,5961.0,0.9356458954638205,0.495,1.7358660000000001,1.770934
360.0,3.4577,8.8476,4.7832,366.34,142.76,6011.0,0.9434939569926228,0.495,1.7115615,1.7461385
310.0,3.411,8.665,4.6964,355.85,139.38,6061.0,0.9513420185214252,0.495,1.688445,1.722555
260.0,3.3663,8.4822,4.6094,346.37,136.38,6111.0,0.9591900800502275,0.495,1.6663184999999998,1.6999815
210.0,3.3243,8.3007,4.5184,338.47,133.72,6161.0,0.96703814157903,0.495,1.6455285,1.6787715
210.0,3.3243,8.3007,4.5184,200.97,79.4,6161.0,0.96703814157903,0.495,1.6455285,1.6787715
165.0,3.3711,8.175,4.509,188.72,76.55,6206.0,0.9741013969549521,0.495,1.6686945000000002,1.7024055
120.0,3.4268,8.0505,4.5,182.57,76.06,6251.0,0.9811646523308742,0.495,1.696266,1.730534
120.0,3.4268,8.0505,4.5,182.57,76.06,6251.0,0.9811646523308742,0.495,1.696266,1.730534
80.0,3.502,8.045,4.49,182.03,75.6,6291.0,0.9874431015539162,0.495,1.73349,1.7685099999999998
80.0,3.502,8.04,4.48,1008.71,417.59,6291.0,0.9874431015539162,0.495,1.73349,1.7685099999999998
43.0,3.5801,8.0379,4.4856,972.77,403.93,6328.0,0.9932506670852299,0.495,1.7721494999999998,1.8079505
18.0,3.641,8.0355,4.4839,950.5,394.62,6353.0,0.9971746978496311,0.495,1.802295,1.838705
18.0,2.92,6.8,3.9,1368.02,599.99,6353.0,0.9971746978496311,0.495,1.4454,1.4746
10.0,2.92,6.8,3.9,1368.02,599.99,6361.0,0.9984303876942395,0.495,1.4454,1.4746
10.0,2.6,5.8,3.2,1478.3,599.99,6361.0,0.9984303876942395,0.495,1.287,1.3130000000000002
3.3,2.6,5.8,3.2,1478.3,599.99,6367.7,0.999482027939099,0.495,1.287,1.3130000000000002
3.3,2.0,1.65,1.0,163.35,80.0,6367.7,0.999482027939099,0.495,0.99,1.01
3.0,2.0,1.65,1.0,163.35,80.0,6368.0,0.9995291163082719,0.495,0.99,1.01
3.0,1.02,1.45,0.0,57822.0,0.0,6368.0,0.9995291163082719,0.495,0.5049,0.5151
0.0,1.02,1.45,0.0,57822.0,0.0,6371.0,1.0,0.5556,0.566712,0.453288
