radius,electron_density_mol_cm3
0.1305,53.21082592667942
0.131,52.966344389165776
0.1315,52.84452517751805
0.132,52.60172663907063
0.1325,52.36004365857503
0.133,52.239618899911974
0.1335,51.999599653351595
0.134,51.760683195056764
0.1345,51.52286445817565
0.135,51.40436515824262
0.1355,51.16818355403078
0.136,50.93308710571955
0.1365,50.81594425605605
0.137,50.5824662003114
0.1375,50.35006087879047
0.138,50.23425895223871
0.1385,50.003453497697855
0.139,49.77370849789361
0.1395,49.54501908047903
0.14,49.43106869868354
0.1405,49.20395356814509
0.141,48.97788193684461
0.1415,48.75284901033863
0.142,48.64072056914617
0.1425,48.41723675840994
0.143,48.19477976251274
0.1435,48.083934844972845
0.144,47.86300923226383
0.1445,47.64309868054156
0.145,47.424198526024455
0.1455,47.315125896148054
0.146,47.097732639695295
0.1465,46.88133821452653
0.147,46.665938031428865
0.1475,46.451527522274944
0.148,46.34469197362879
0.1485,46.13175745603793
0.149,45.91980128368685
0.1495,45.708818961487495
0.15,45.60369159512962
0.1505,45.39416166502032
0.151,45.18559443749224
0.1515,44.977985489328795
0.152,44.77133041763626
0.1525,44.6683592150963
0.153,44.46312674691086
0.1535,44.25883723626264
0.154,44.05548635065532
0.1545,43.85306977749856
0.155,43.752210515825205
0.1555,43.55118736855686
0.156,43.35108783875289
0.1565,43.151907682776525
0.157,42.95364267648873
0.1575,42.85485203974394
0.158,42.65795188015925
0.1585,42.46195639463128
0.159,42.26686142656028
0.1595,42.072662838444415
0.16,41.87935651179185
0.1605,41.78303666466218
0.161,41.59106104940221
0.1615,41.39996748197304
0.162,41.20975190973302
0.1625,41.02041029866068
0.163,40.83193863326921
0.1635,40.64433291652128
0.164,40.55085354483839
0.1645,40.364539296760505
0.165,40.179081084894
0.1655,39.99447497610976
0.166,39.810717055349734
0.1665,39.62780342554395
0.167,39.44573020752785
0.1675,39.26449353995999
0.168,39.174187710778305
0.1685,38.99419866765434
0.169,38.815036599064825
0.1695,38.63669770540692
0.17,38.459178204535355
0.1705,38.282474331682266
0.171,38.106582339377304
0.1715,37.93149849736819
0.172,37.7572190925416
0.1725,37.583740428844415
0.173,37.497300224548354
0.1735,37.32501577957206
0.174,37.15352290971726
0.1745,36.982817978026624
0.175,36.812897364253146
0.1755,36.643757464783334
0.176,36.47539469256078
0.1765,36.30780547701014
0.177,36.14098626396133
0.1775,35.974933515574236
0.178,35.80964371026361
0.1785,35.64511334262443
0.179,35.48133892335755
0.1795,35.3183169791957
0.18,35.15604405282981
0.1805,35.0751873952568
0.181,34.914031547858606
0.1815,34.753616144320574
0.182,34.59393778261219
0.1825,34.43499307633384
0.183,34.27677865464503
0.1835,34.119291162192845
0.184,33.96252725904083
0.1845,33.80648362059815
0.185,33.65115693754907
0.1855,33.49654391578276
0.186,33.34264127632349
0.1865,33.18944575526103
0.187,33.036954103681474
0.1875,32.88516308759829
0.188,32.734069487883815
0.1885,32.58367010020087
0.189,32.43396173493492
0.1895,32.284941217126345
0.19,32.13660538640317
0.1905,31.988951096913972
0.191,31.84197521726124
0.1915,31.6956746304349
0.192,31.550046233746276
0.1925,31.40508693876218
0.193,31.260793671239558
0.1935,31.117163371060183
0.194,30.97419299216581
0.1945,30.83187950249355
0.195,30.69021988391158
0.1955,30.54921113215514
0.196,30.338911841942704
0.1965,30.19951720402016
0.197,30.060763026282306
0.1975,29.92264636608189
0.198,29.785164294291896
