 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.03331 15.339 1.987 1.274E-04 1.459E-11 7.985E-04 6.213E-03 4.916E-03 5.593E-03 5.847E-03 3.187E-03 1.197E-03 3.668E-04
  0.03369 15.330 1.986 1.306E-04 1.453E-11 8.187E-04 6.298E-03 4.984E-03 5.670E-03 5.928E-03 3.250E-03 1.226E-03 3.770E-04
  0.03408 15.322 1.986 1.338E-04 1.446E-11 8.391E-04 6.381E-03 5.050E-03 5.745E-03 6.007E-03 3.312E-03 1.255E-03 3.874E-04
  0.03446 15.313 1.985 1.371E-04 1.439E-11 8.596E-04 6.461E-03 5.114E-03 5.818E-03 6.084E-03 3.374E-03 1.284E-03 3.979E-04
  0.03485 15.305 1.984 1.404E-04 1.433E-11 8.804E-04 6.538E-03 5.176E-03 5.889E-03 6.158E-03 3.436E-03 1.313E-03 4.086E-04
  0.03524 15.296 1.984 1.438E-04 1.426E-11 9.013E-04 6.613E-03 5.237E-03 5.958E-03 6.230E-03 3.497E-03 1.343E-03 4.194E-04
  0.03563 15.287 1.983 1.472E-04 1.419E-11 9.223E-04 6.685E-03 5.295E-03 6.024E-03 6.300E-03 3.558E-03 1.373E-03 4.303E-04
  0.03602 15.278 1.983 1.506E-04 1.412E-11 9.435E-04 6.754E-03 5.352E-03 6.088E-03 6.367E-03 3.618E-03 1.402E-03 4.414E-04
  0.03641 15.269 1.982 1.540E-04 1.405E-11 9.649E-04 6.821E-03 5.406E-03 6.150E-03 6.432E-03 3.678E-03 1.432E-03 4.526E-04
  0.03680 15.260 1.981 1.574E-04 1.398E-11 9.863E-04 6.884E-03 5.458E-03 6.210E-03 6.494E-03 3.736E-03 1.462E-03 4.639E-04
