radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.1095,7.86266323,8.08535179,6.61140848,4.80120626,0.958920166,1.26678393,1.80546708,1.40454154
0.11,7.85009216,8.04774761,6.62815188,4.72001934,0.92287504,1.22934668,1.75229774,1.3589434
0.1105,7.84297453,8.01585574,6.64954218,4.64351004,0.888859965,1.19388827,1.70194398,1.31580692
0.111,7.80503212,7.9527209,6.64471536,4.55068592,0.853036552,1.15515382,1.64691229,1.2693776
0.1115,7.80075556,7.92384222,6.66867709,4.47777116,0.821302128,1.12171099,1.5994231,1.22885318
0.112,7.78243899,7.88093732,6.68063178,4.39874559,0.789779,1.0876773,1.55108503,1.18800585
0.1125,7.76058087,7.83460157,6.68951531,4.319045,0.75906018,1.05413619,1.50344342,1.14792148
0.113,7.74126109,7.79095399,6.70061175,4.24194218,0.729608283,1.02180799,1.45752726,1.10935601
0.1135,7.72993037,7.75547352,6.71864436,4.17045257,0.701977171,0.991449104,1.41441534,1.07313914
0.114,7.69786969,7.69945527,6.71857915,4.08956226,0.673843449,0.959647655,1.36923755,1.03562548
0.1145,7.67951781,7.65721466,6.73051769,4.01670104,0.647547126,0.930105552,1.32728035,1.0006788
0.115,7.65357841,7.60761032,6.73576694,3.94131904,0.621715126,0.900625196,1.28540538,0.966016295
0.1155,7.64572466,7.57607422,6.75700231,3.87623101,0.598150048,0.873970361,1.24755855,0.934547903
0.116,7.60499893,7.51231254,6.74899672,3.79651138,0.573433035,0.844857938,1.20619409,0.900730513
0.1165,7.59030822,7.47426979,6.76418322,3.73016474,0.551018928,0.818930615,1.16937524,0.870383196
0.117,7.56019739,7.42131667,6.76553908,3.65793405,0.528641091,0.792405755,1.13169539,0.839633838
0.1175,7.54101217,7.37920183,6.77668626,3.59190657,0.507690215,0.767629664,1.09650776,0.810875537
0.118,7.51946335,7.33499831,6.78563029,3.52617934,0.487540313,0.743507461,1.06224643,0.783005499
0.1185,7.48601741,7.2794355,6.78376154,3.45630348,0.467521157,0.719067944,1.02752274,0.754983813
0.119,7.45980731,7.23102993,6.7884377,3.39060585,0.448505724,0.695845075,0.994531077,0.72835383
0.1195,7.43385143,7.18306335,6.79327655,3.32619687,0.430250036,0.673357949,0.962581323,0.702647591
0.12,7.40776346,7.13517168,6.79795215,3.26293304,0.412717178,0.651569139,0.931616747,0.677817638
0.1205,7.38279616,7.08856228,6.80359298,3.20135226,0.395962118,0.630582061,0.901783027,0.653965822
0.121,7.35076727,7.03541592,6.80260972,3.13799483,0.379564848,0.609732687,0.872122956,0.63039894
0.1215,7.33024671,6.993427,6.81225172,3.08044893,0.364294439,0.590375289,0.844572066,0.608474522
0.122,7.28792252,6.93096014,6.80145079,3.01531022,0.348768931,0.570131865,0.815706489,0.585780925
0.1225,7.26896368,6.89074927,6.81251,2.96028058,0.33464281,0.552002178,0.789844262,0.565309478
0.123,7.22950575,6.83145154,6.80416225,2.89853767,0.32040174,0.533234182,0.76297306,0.544296013
0.1235,7.20589937,6.7872236,6.81073262,2.84375877,0.307203619,0.51601856,0.738263719,0.524902504
0.124,7.16993999,6.73167038,6.80543746,2.78551136,0.294176738,0.498738592,0.71332569,0.505501107
0.1245,7.14410977,6.6857759,6.80973391,2.73199458,0.281967149,0.482682804,0.689991302,0.487327078
0.125,7.10819121,6.63073936,6.80425072,2.67593569,0.269978248,0.466776856,0.666622017,0.469266861
0.1255,7.07813699,6.58134328,6.8043083,2.62290492,0.25860516,0.451831565,0.644398205,0.452102856
0.126,7.04185208,6.52641658,6.79822768,2.56869577,0.247517265,0.437286321,0.622395698,0.435210728
0.1265,7.0141712,6.47963245,6.80036828,2.51841569,0.23709794,0.423982382,0.601717113,0.419329579
0.127,6.97727196,6.42463754,6.79341726,2.46607795,0.226900891,0.411189721,0.58108638,0.403604332
0.1275,6.94864157,6.37742815,6.79444228,2.41744094,0.217313896,0.399730072,0.561679641,0.388809708
0.128,6.91335641,6.32441208,6.78877424,2.36767612,0.208006052,0.389204778,0.542514332,0.374296142
0.1285,6.8734601,6.26741268,6.77842518,2.31723847,0.198921536,0.379610054,0.523572442,0.360021972
