radius_km,radius_fraction,mass_density_g_cm3,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3,depth_km
420.48600000000005,0.066,13.02153669379015,0.467,6.081057636000001,6.9404790577901485,5950.513999999999
426.857,0.067,13.020363616702356,0.467,6.0805098090000005,6.939853807702355,5944.143
433.228,0.068,13.019172899357601,0.467,6.079953744,6.9392191553576,5937.772
439.59900000000005,0.069,13.017964541755887,0.467,6.079389441,6.9385751007558865,5931.401000000001
445.97,0.07,13.016738543897217,0.467,6.0788169000000005,6.937921643897216,5925.03
452.34100000000007,0.07100000000000001,13.015494905781583,0.467,6.078236121,6.937258784781583,5918.659000000001
458.71200000000005,0.07200000000000001,13.014233627408993,0.467,6.077647104,6.936586523408992,5912.288
465.08299999999997,0.073,13.012954708779443,0.467,6.077049849,6.935904859779442,5905.917
471.45399999999995,0.074,13.011658149892934,0.467,6.0764443560000005,6.935213793892933,5899.546
477.825,0.075,13.010343950749464,0.467,6.075830625,6.934513325749463,5893.175
484.19599999999997,0.076,13.009012111349035,0.467,6.075208656,6.933803455349035,5886.804
490.567,0.077,13.00766263169165,0.467,6.0745784490000005,6.9330841826916485,5880.433
496.938,0.078,13.006295511777301,0.467,6.073940004,6.9323555077773005,5874.062
503.309,0.079,13.004910751605996,0.467,6.073293321,6.931617430605995,5867.691000000001
509.68,0.08,13.003508351177729,0.467,6.0726384,6.930869951177728,5861.320000000001
516.051,0.081,13.002088310492505,0.467,6.0719752410000005,6.930113069492505,5854.9490000000005
522.422,0.082,13.00065062955032,0.467,6.071303844,6.92934678555032,5848.578
528.793,0.083,12.999195308351178,0.467,6.070624209,6.928571099351177,5842.207
535.164,0.084,12.997722346895076,0.467,6.0699363360000005,6.927786010895074,5835.836
541.5350000000001,0.085,12.996231745182014,0.467,6.069240225000001,6.926991520182012,5829.465
547.9060000000001,0.08600000000000001,12.994723503211992,0.467,6.068535876,6.92618762721199,5823.094
554.277,0.08700000000000001,12.993197620985011,0.467,6.067823289000001,6.92537433198501,5816.723
560.6479999999999,0.088,12.991654098501071,0.467,6.067102464,6.92455163450107,5810.352
567.019,0.089,12.99009293576017,0.467,6.066373401,6.92371953476017,5803.981
573.39,0.09,12.988514132762312,0.467,6.0656361,6.922878032762311,5797.610000000001
579.761,0.091,12.986917689507495,0.467,6.064890561,6.9220271285074935,5791.2390000000005
