radius,electron_density_mol_cm3,neutron_density_mol_cm3
0.230674,21.700013298554136,3.8943052915968295
0.232376,21.324556124748582,3.819773415682732
0.234075,20.95511265742273,3.746567283347375
0.23577,20.591595576300257,3.6746653282654194
0.237462,20.23391866907365,3.604895106842484
0.239151,19.881996820055186,3.536357625175569
0.240836,19.53574599889972,3.469032941259556
0.242519,19.195525237613797,3.4037853770568205
0.244198,18.860360949212712,3.339603838181312
0.245875,18.531048811186725,3.2766252296128897
0.247549,18.207067403767667,3.2147530986733277
0.24922,17.88833831820743,3.1539696260948205
0.250889,17.575188836859628,3.095066606756795
0.252555,17.26672610391639,3.037119047563184
0.254218,16.96367721081852,2.9802517567961324
0.25588,16.66556339588361,2.9250774682161307
0.257539,16.37268853035517,2.870233860251247
0.259196,16.084219823990853,2.816960259970092
0.260851,15.800833617937798,2.7646726653648344
0.262505,15.5220829508655,2.7132903970042506
0.264156,15.248249868287294,2.662860384812216
0.265805,14.978902710603393,2.6139344746799686
0.267453,14.71397453202829,2.5652284226406543
0.269099,14.45339926752388,2.517977023211351
0.270744,14.197438627594485,2.4709976611007995
0.272386,13.94568977506102,2.4254228878537134
0.274028,13.698404930889524,2.3806873184379604
0.275668,13.45519511844036,2.336721717606917
0.277307,13.215999087792094,2.293513920107717
0.278945,12.981055298792816,2.2511037654195576
0.280581,12.74999457553166,2.209425676251083
0.282217,12.522758345971408,2.1684680462747323
0.283852,12.299572024332209,2.128268438366078
0.285485,12.080085273859307,2.089272955487097
0.287118,11.864242092874642,2.050445066369207
0.28875,11.652255530259914,2.012337595550253
0.290381,11.443793171056384,1.974891722303468
0.292012,11.239060266214013,1.938141512393969
0.293642,11.03773593848319,1.9020302649795475
0.295272,10.839768318496777,1.86686710781002
0.296901,10.645351352265946,1.8321293607182128
0.298529,10.454180637765152,1.798083679571736
0.300158,10.266206602936894,1.76462924064505
0.301786,10.081612482708737,1.731796473767183
0.303414,9.900314707329406,1.699569926520283
0.305042,9.722075737080637,1.6679486993061945
0.306669,9.546913771508576,1.636932706045318
0.308297,9.374799754953008,1.6064348850799668
0.309924,9.20568266559459,1.5766027614683615
0.311552,9.039512299159838,1.5472682570782403
0.31318,8.876218818191427,1.5184580447112808
0.314808,8.715794862250899,1.4902434452838786
0.316436,8.55819149750247,1.4625392053202546
0.318064,8.403321898687798,1.4352943544647552
0.319693,8.251197832913915,1.408651114229805
0.321322,8.1017530258554,1.3824211311979049
0.322951,7.954941678999402,1.3567001831404362
0.324581,7.810718751432324,1.3315109813543824
0.326211,7.669039947755733,1.306744828530265
0.327842,7.529861706187283,1.282458929407218
0.329474,7.393158210200225,1.258615417595454
0.331106,7.258869688458144,1.2352647285855929
0.332738,7.126954726840293,1.2122758246049408
0.334371,6.997372598667106,1.1897625089255737
0.336005,6.87008325369415,1.167656335456407
0.33764,6.745062838338542,1.1459243652612656
0.339276,6.622271774567304,1.1246167823913638
0.340912,6.50164121770288,1.1037199005023943
0.342549,6.3831786577855,1.0832330595159352
0.344188,6.266802384476099,1.0630876958388829
0.345827,6.152505349687603,1.0433355501056454
0.347467,6.040251195908229,1.023917731471915
0.349108,5.929990532583382,1.0048518956667944
0.35075,5.821688982434555,0.9861809204800008
0.352394,5.715325902243765,0.9678500710367572
0.354038,5.610867331922619,0.9498296282428528
0.355684,5.508267209578066,0.932159219927815
0.357331,5.407505875599535,0.9148339196711
0.358979,5.308551072830283,0.8978243412906206
0.360628,5.211371097200371,0.8810809097205876
0.362279,5.115923008611803,0.8647063519866016
0.363931,5.022199957088079,0.8485897831945817
0.365584,4.930159843358591,0.8328093232440903
0.367239,4.839773084731995,0.8173166051584335
0.368895,4.751010606820231,0.8020864583080236
0.370552,4.663854573925225,0.787156078277258
0.372211,4.578276311609965,0.7724999975001428
0.373872,4.4942476499295445,0.7580942937041808
0.375534,4.411730756291086,0.7439892250419096
0.377198,4.330718946985446,0.7301266010807144
0.378863,4.2511751653663925,0.7165189180853364
0.38053,4.173063564722644,0.70317753044481
0.382199,4.096368331449281,0.690081330668364
0.383869,4.0210641345365445,0.6772089152135203
0.385541,3.947135178144404,0.6645916767146058
0.387214,3.87453867227138,0.6522213041154199
0.38889,3.803259861269366,0.6400621633060064
0.390567,3.7332837505275656,0.6281282118431335
0.392246,3.664569814967455,0.6164279250357962
0.393927,3.5971123291466007,0.6049289831564924
0.395609,3.530880341940967,0.5936417697173555
0.397294,3.465851893205752,0.5825624386361401
0.39898,3.4020054107135658,0.5717015631549272
0.400668,3.3393273924804654,0.5610559332317804
0.402359,3.277789049489552,0.5505783212477233
0.404051,3.2173699409551344,0.5402938513072355
0.405745,3.1580572591949205,0.5302268767445186
0.407441,3.099823740081563,0.5203189006936739
0.409139,3.0426570215898416,0.5106076933638697
