radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.02409,15.515,1.999,5.852e-05,1.596e-11,0.0003661,0.00361,0.002865,0.003259,0.003392,0.001638,0.0005622,0.000159
0.02442,15.509,1.998,6.056e-05,1.592e-11,0.0003789,0.00371,0.002943,0.003349,0.003486,0.001689,0.0005815,0.0001649
0.02474,15.504,1.998,6.265e-05,1.587e-11,0.000392,0.003812,0.003023,0.003439,0.003581,0.001742,0.0006012,0.0001709
0.02507,15.498,1.997,6.479e-05,1.583e-11,0.0004055,0.003914,0.003103,0.00353,0.003676,0.001795,0.0006214,0.0001771
0.0254,15.493,1.997,6.699e-05,1.579e-11,0.0004193,0.004016,0.003184,0.003622,0.003773,0.00185,0.000642,0.0001834
0.02574,15.487,1.997,6.923e-05,1.574e-11,0.0004334,0.00412,0.003265,0.003714,0.00387,0.001905,0.0006631,0.00019
0.02608,15.481,1.996,7.153e-05,1.57e-11,0.0004478,0.004224,0.003347,0.003807,0.003968,0.001961,0.0006846,0.0001967
0.02642,15.475,1.996,7.387e-05,1.565e-11,0.0004626,0.004328,0.003429,0.003901,0.004066,0.002018,0.0007065,0.0002035
0.02676,15.469,1.995,7.627e-05,1.56e-11,0.0004777,0.004432,0.003511,0.003994,0.004164,0.002075,0.0007289,0.0002106
0.0271,15.463,1.995,7.871e-05,1.556e-11,0.000493,0.004537,0.003593,0.004088,0.004262,0.002133,0.0007518,0.0002178
0.02745,15.456,1.995,8.121e-05,1.551e-11,0.0005087,0.004642,0.003675,0.004181,0.004361,0.002192,0.000775,0.0002252
0.0278,15.45,1.994,8.376e-05,1.546e-11,0.0005247,0.004747,0.003758,0.004275,0.004459,0.002252,0.0007987,0.0002328
0.02815,15.443,1.994,8.635e-05,1.54e-11,0.0005411,0.004851,0.00384,0.004368,0.004558,0.002312,0.0008228,0.0002405
0.02851,15.437,1.993,8.899e-05,1.535e-11,0.0005577,0.004955,0.003922,0.004461,0.004656,0.002372,0.0008472,0.0002484
0.02887,15.43,1.993,9.168e-05,1.53e-11,0.0005746,0.005059,0.004003,0.004554,0.004753,0.002434,0.0008721,0.0002565
0.02923,15.423,1.992,9.442e-05,1.525e-11,0.0005918,0.005162,0.004084,0.004646,0.004851,0.002495,0.0008974,0.0002648
0.02959,15.416,1.992,9.72e-05,1.519e-11,0.0006093,0.005264,0.004165,0.004738,0.004947,0.002557,0.000923,0.0002732
0.02995,15.409,1.991,0.0001,1.513e-11,0.000627,0.005365,0.004244,0.004829,0.005043,0.00262,0.000949,0.0002818
0.03032,15.401,1.991,0.0001029,1.508e-11,0.0006451,0.005465,0.004324,0.004919,0.005137,0.002682,0.0009753,0.0002906
0.03068,15.394,1.99,0.0001058,1.502e-11,0.0006634,0.005565,0.004402,0.005008,0.005231,0.002745,0.001002,0.0002996
0.03105,15.386,1.99,0.0001088,1.496e-11,0.000682,0.005662,0.004479,0.005095,0.005323,0.002808,0.001029,0.0003087
0.03143,15.379,1.989,0.0001118,1.49e-11,0.0007008,0.005759,0.004555,0.005182,0.005415,0.002871,0.001056,0.0003179
0.0318,15.371,1.989,0.0001148,1.484e-11,0.0007199,0.005853,0.00463,0.005267,0.005504,0.002934,0.001084,0.0003274
0.03218,15.363,1.988,0.0001179,1.478e-11,0.0007392,0.005946,0.004704,0.005351,0.005593,0.002998,0.001112,0.000337
0.03255,15.355,1.988,0.000121,1.472e-11,0.0007588,0.006037,0.004776,0.005433,0.005679,0.003061,0.00114,0.0003468
0.03293,15.347,1.987,0.0001242,1.465e-11,0.0007785,0.006126,0.004847,0.005514,0.005764,0.003124,0.001168,0.0003567
0.03331,15.339,1.987,0.0001274,1.459e-11,0.0007985,0.006213,0.004916,0.005593,0.005847,0.003187,0.001197,0.0003668
0.03369,15.33,1.986,0.0001306,1.453e-11,0.0008187,0.006298,0.004984,0.00567,0.005928,0.00325,0.001226,0.000377
0.03408,15.322,1.986,0.0001338,1.446e-11,0.0008391,0.006381,0.00505,0.005745,0.006007,0.003312,0.001255,0.0003874
0.03446,15.313,1.985,0.0001371,1.439e-11,0.0008596,0.006461,0.005114,0.005818,0.006084,0.003374,0.001284,0.0003979
0.03485,15.305,1.984,0.0001404,1.433e-11,0.0008804,0.006538,0.005176,0.005889,0.006158,0.003436,0.001313,0.0004086
0.03524,15.296,1.984,0.0001438,1.426e-11,0.0009013,0.006613,0.005237,0.005958,0.00623,0.003497,0.001343,0.0004194
0.03563,15.287,1.983,0.0001472,1.419e-11,0.0009223,0.006685,0.005295,0.006024,0.0063,0.003558,0.001373,0.0004303
0.03602,15.278,1.983,0.0001506,1.412e-11,0.0009435,0.006754,0.005352,0.006088,0.006367,0.003618,0.001402,0.0004414
0.03641,15.269,1.982,0.000154,1.405e-11,0.0009649,0.006821,0.005406,0.00615,0.006432,0.003678,0.001432,0.0004526
0.0368,15.26,1.981,0.0001574,1.398e-11,0.0009863,0.006884,0.005458,0.00621,0.006494,0.003736,0.001462,0.0004639
0.03719,15.25,1.981,0.0001609,1.391e-11,0.001008,0.006945,0.005508,0.006266,0.006553,0.003795,0.001492,0.0004754
0.03759,15.241,1.98,0.0001644,1.383e-11,0.00103,0.007002,0.005556,0.006321,0.006609,0.003852,0.001522,0.000487
0.03798,15.231,1.979,0.0001679,1.376e-11,0.001051,0.007056,0.005601,0.006372,0.006663,0.003909,0.001553,0.0004987
0.03838,15.222,1.979,0.0001715,1.368e-11,0.001073,0.007107,0.005645,0.006421,0.006713,0.003965,0.001583,0.0005105
0.03878,15.212,1.978,0.000175,1.361e-11,0.001095,0.007155,0.005685,0.006468,0.006761,0.00402,0.001613,0.0005224
0.03917,15.202,1.977,0.0001786,1.353e-11,0.001117,0.007199,0.005724,0.006512,0.006806,0.004074,0.001643,0.0005344
0.03957,15.192,1.977,0.0001822,1.346e-11,0.001139,0.00724,0.00576,0.006553,0.006848,0.004127,0.001673,0.0005465
0.03997,15.182,1.976,0.0001857,1.338e-11,0.001161,0.007278,0.005793,0.006591,0.006887,0.004179,0.001703,0.0005588
0.04037,15.172,1.975,0.0001894,1.33e-11,0.001184,0.007313,0.005825,0.006626,0.006923,0.00423,0.001734,0.0005711
0.04077,15.162,1.975,0.000193,1.323e-11,0.001206,0.007344,0.005853,0.006659,0.006956,0.00428,0.001764,0.0005835
0.04117,15.152,1.974,0.0001966,1.315e-11,0.001228,0.007372,0.00588,0.006689,0.006986,0.004329,0.001793,0.000596
0.04158,15.142,1.973,0.0002002,1.307e-11,0.00125,0.007396,0.005904,0.006716,0.007013,0.004376,0.001823,0.0006086
0.04198,15.131,1.973,0.0002039,1.299e-11,0.001272,0.007418,0.005925,0.006741,0.007037,0.004423,0.001853,0.0006212
0.04238,15.121,1.972,0.0002075,1.291e-11,0.001295,0.007435,0.005945,0.006763,0.007058,0.004468,0.001883,0.000634
